B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Group
-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,14
-82,-200,-200,-200,-91,-200,-92,-95,-80,-81,-200,-200,-68,-200,-200,23
-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-74,19
-83,-200,-200,-200,-200,-90,-77,-98,-81,-94,-200,-200,-92,-200,-90,16
-93,-200,-200,-200,-80,-200,-200,-80,-54,-90,-200,-200,-93,-200,-200,9
-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-200,-200,-200,-200,-74,-200,-200,-70,-81,-200,-200,-200,-71,-200,-200,8
-90,-200,-200,-200,-200,-91,-84,-200,-200,-200,-200,-200,-77,-82,-90,18
-90,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-87,-200,-200,6
-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-86,21
-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-95,-93,-200,-200,-200,4
-90,-200,-200,-200,-200,-91,-84,-200,-200,-200,-200,-200,-77,-82,-90,18
-76,-200,-200,-200,-200,-93,-78,-95,-79,-91,-200,-200,-82,-200,-200,10
-96,-200,-200,-200,-200,-200,-92,-81,-200,-200,-200,-200,-73,-200,-200,11
-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,21
-88,-200,-200,-200,-87,-200,-94,-200,-91,-78,-200,-200,-69,-200,-200,23
-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-83,19
-92,-200,-200,-200,-200,-200,-200,-90,-92,-87,-200,-200,-92,-200,-200,9
-82,-200,-200,-200,-200,-93,-80,-98,-82,-92,-200,-200,-92,-200,-90,16
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-200,-200,-200,-200,-200,-200,-64,-200,-94,-200,-200,-200,-200,-200,-88,6
-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-71,-88,-200,-200,-200,1
-89,-200,-200,-93,-200,-200,-200,-200,-200,-200,-83,-89,-200,-200,-200,15
-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-86,-200,-200,-75,-200,-200,-200,-200,-200,-200,-72,-83,-200,-200,-200,13
-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-93,-89,-200,-200,-200,4
-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,14
-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-86,21
-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-84,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,5
-87,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-73,-75,-200,18
-88,-200,-200,-200,-84,-200,-91,-92,-83,-80,-200,-200,-73,-200,-200,23
-82,-200,-200,-200,-96,-92,-80,-94,-77,-90,-200,-200,-88,-200,-200,10
